,Nome,Endereco,Cep - UF,Numero CGC
0,"MERCADO SAO SEBASTIAO, RJ",AVENIDA LOBO JUNIOR NUM 1715 - PENHA CIRCULAR,"21020123 - RIO DE JANEIRO, RJ",Ag. Número: 2423-6
0,"PALACIO DO EXERCITO, RJ",PRACA DUQUE DE CAXIAS NUM 25 - CENTRO,"20221260 - RIO DE JANEIRO, RJ",Ag. Número: 0214-3
0,"PETROBRAS RIO, RJ",AVENIDA AV REPUBLICA DO CHILE 65 NUM 65 - CENTRO,"20031912 - RIO DE JANEIRO, RJ",Ag. Número: 7947-2
0,PRIVATE RIO DE JANEIRO,AVENIDA OSCAR NIEMEYER NUM 2000 - SANTO CRISTO,"20220297 - RIO DE JANEIRO, RJ",Ag. Número: 4867-4
0,"QUITANDA, RJ",RUA DO ROSARIO NUM 103 - CENTRO,"200414 - RIO DE JANEIRO, RJ",Ag. Número: 4839-9
0,"QUITUNGO, RJ",AVENIDA VICENTE DE CARVALHO NUM 995/997 - VILA DA PENHA,"21210623 - RIO DE JANEIRO, RJ",Ag. Número: 4834-8
0,"ROCINHA, RJ",AVENIDA NIEMEYER NUM 776 - SAO CONRADO,"22450221 - RIO DE JANEIRO, RJ",Ag. Número: 4193-9
0,"RUA DA CANDELARIA, RJ",AVENIDA PRESIDENTE VARGAS NUM 309 A - CENTRO,"200713 - RIO DE JANEIRO, RJ",Ag. Número: 4775-9
0,"RUA DA RELACAO, RJ",RUA RIACHUELO NUM 61 - CENTRO,"2023014 - RIO DE JANEIRO, RJ",Ag. Número: 4840-2
0,"RUA SACADURA CABRAL, RJ",AVENIDA BARAO DE TEFE NUM 7 - SAUDE,"20220460 - RIO DE JANEIRO, RJ",Ag. Número: 3246-8
0,"RUA UBALDINO DO AMARAL, RJ",RUA RIACHUELO NUM 61 - CENTRO,"2023014 - RIO DE JANEIRO, RJ",Ag. Número: 2123-7
0,"SENADOR DANTAS, RJ",RUA DA CARIOCA NUM 27/29/31/33 - CENTRO,"200508 - RIO DE JANEIRO, RJ",Ag. Número: 2809-6
0,"SESC SENAC NACIONAL, RJ",AVENIDA AYRTON SENNA NUM 5555 - BARRA DA TIJUCA,"227754 - RIO DE JANEIRO, RJ",Ag. Número: 2699-9
0,"TIJUCA, RJ",RUA CONDE DE BONFIM NUM 302 - TIJUCA,"2052054 - RIO DE JANEIRO, RJ",Ag. Número: 2906-8
0,"TRF RIO DE JANEIRO, RJ",RUA ACRE NUM 80 - CENTRO,"200810 - RIO DE JANEIRO, RJ",Ag. Número: 4021-5
0,"TRT 1A REGIAO RIO DE JANEIRO, RJ",RUA ARAUJO PORTO ALEGRE NUM 36 - CENTRO,"20030902 - RIO DE JANEIRO, RJ",Ag. Número: 4044-4
0,"VOLUNTARIOS DA PATRIA, RJ",RUA VOLUNTARIOS DA PATRIA NUM 246 - BOTAFOGO,"2227014 - RIO DE JANEIRO, RJ",Ag. Número: 2028-1
0,"CSN PATIO SOM, RJ",ROD LUCIO MEIRA KM 5 - VILA SANTA CECILIA,"27269900 - VOLTA REDONDA, RJ",Ag. Número: 4971-9
0,"CSN ZONA LESTE, RJ",ROD LUCIO MEIRA KM 5 KM 393 - VILA SANTA CECILIA,"27269900 - VOLTA REDONDA, RJ",Ag. Número: 4997-2
0,"DIGITAL SUL FLUMINENSE, RJ",RUA VINTE E CINCO NUM 184 - VILA SANTA CECILIA,"27260150 - VOLTA REDONDA, RJ",Ag. Número: 3767-2
